VRL S9 FINALS,Dynamic Weather,76,111.043,SojuManDotGFrames,Unknown,TBSSpec,2023/03/24
VRL S9 T1,Dynamic Weather,97,101.923,SojuManDotGFrames,Unknown,SouthEastFPV,2023/05/11
VRL S9 T2,Dynamic Weather,145,98.822,SojuManDotGFrames,Unknown,TBSSpec,2023/02/01
VRL S9 T3,Dynamic Weather,131,89.347,SojuManDotGFrames,Unknown,TBSSpec,2023/02/12
VRL S9 T4,Dynamic Weather,94,99.486,SojuManDotGFrames,Unknown,TBSSpec,2023/02/12
VRL S9 T5,Dynamic Weather,999,999.999,SojuManDotGFrames,NO_DATA
VRL S9 T6,Dynamic Weather,999,999.999,SojuManDotGFrames,NO_DATA
VRL S9 T7,Dynamic Weather,999,999.999,SojuManDotGFrames,NO_DATA
VRL S9 T8,Dynamic Weather,106,139.465,SojuManDotGFrames,Unknown,TBSSpec,2023/03/21
VRL Season 9 Tryouts,Dynamic Weather,999,999.999,SojuManDotGFrames,NO_DATA
