2022 Freedom Spec Champioship,Dynamic Weather,87,75.154,Solace,Canada,Five33Switchback,2022/08/22
2022 MultiGP Canadian Series by DCH FPV,Countryside,20,41.106,Solace,Canada,TwigXL3,2022/08/05
2022 MultiGP IO Freedom Spec,Dynamic Weather,159,112.814,Solace,Canada,SwitchbackZero,2023/03/15
2022 MultiGP IO Intermediate,Dynamic Weather,999,999.999,Solace,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,999,999.999,Solace,NO_DATA
2022 MultiGP IO World Cup,Dynamic Weather,87,63.531,Solace,Canada,SouthEastFPV,2023/04/06
2023 MultiGP GQ-AyyyKayyy,Dynamic Weather,103,31.740,Solace,Canada,SouthEastFPV,2023/04/18
2023 MultiGP GQ-BonerFPV,Dynamic Weather,63,25.770,Solace,Canada,Five33Switchback,2023/03/05
2023 MultiGP GQ-Fastodon,Dynamic Weather,108,40.659,Solace,Canada,Five33Switchback,2023/03/06
2023 MultiGP GQ-Hakko,Dynamic Weather,130,49.813,Solace,Canada,SwitchbackZero,2023/03/13
2023 MultiGP GQ-Hyper,Dynamic Weather,59,38.879,Solace,Canada,Five33Switchback,2023/03/05
2023 MultiGp GQ-Leviathann,Dynamic Weather,67,30.880,Solace,Canada,SouthEastFPV,2023/03/29
2023 MultiGP GQ-NMGrower,Dynamic Weather,75,40.507,Solace,Canada,SouthEastFPV,2023/04/11
2023 MultiGP GQ-ROFL,Dynamic Weather,97,59.323,Solace,Canada,SouthEastFPV,2023/03/29
CDRA 2023  Champs Hyper,Empty Scene Day,60,47.673,Solace,Canada,SouthEastFPV,2023/03/27
DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,188,98.720,Solace,Canada,TBSSpec,2022/01/03
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,96,75.158,Solace,Canada,TwigXL3,2022/02/25
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,999,999.999,Solace,NO_DATA
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,999,999.999,Solace,NO_DATA
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,90,69.559,Solace,Canada,TwigXL3,2022/04/12
DEP Open Pop-Up 2,Dynamic Weather,999,999.999,Solace,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,131,65.238,Solace,Canada,TwigXL3,2022/02/26
DEP Open Series 2 Race 7,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 3 Race 3,Karting Track,999,999.999,Solace,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 3 Race 5,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 3 Race 6,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 4 Race 1,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 4 Race 2,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 4 Race 3,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 4 Race 4,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,152,90.464,Solace,Canada,TBSSpec,2022/02/23
DEP Open Series 5 Race 1,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,999,999.999,Solace,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,199,129.065,Solace,Canada,AttoFPVPhoton,2021/12/23
DEP Open Series 5 Race 7,Football Stadium,112,126.402,Solace,Canada,TwigXL3,2022/02/25
DEP Spec Series 1 Race 5,Football Stadium,999,999.999,Solace,NO_DATA
EU Spec Season 4 Race 1,Football Stadium,999,999.999,Solace,NO_DATA
IO 2023 Main Stage FAI Yawesome,Empty Scene Day,999,999.999,Solace,NO_DATA
Mayhem 22 by SFPV,Empty Scene Day,90,71.326,Solace,Canada,Five33Switchback,2022/10/16
MGP Champs 2022,Dynamic Weather,82,82.049,Solace,Canada,Five33Switchback,2022/10/21
MGP Champs 2022 sports track,Empty Scene Day,999,999.999,Solace,NO_DATA
MGP GQ 2023 remix,Dynamic Weather,999,999.999,Solace,NO_DATA
MGP Ice Rink Race 2022,Empty Scene Day,71,66.047,Solace,Canada,SouthEastFPV,2023/04/17
MGP Ice Storm 2023 by BonerFPV,Empty Scene Day,15,62.961,Solace,Canada,SouthEastFPV,2023/05/13
MultiGP 2022 Global Qualifier,Dynamic Weather,169,34.652,Solace,Canada,TwigXL3,2022/05/03
MultiGP 2023 Mayhem-NMGrower,Empty Scene Day,38,62.854,Solace,Canada,SouthEastFPV,2023/05/07
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,Solace,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999,999.999,Solace,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999,999.999,Solace,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999,999.999,Solace,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,150,92.329,Solace,Canada,TBSSpec,2022/02/20
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,Solace,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,Solace,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,999,999.999,Solace,NO_DATA
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,999,999.999,Solace,NO_DATA
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,101,86.053,Solace,Canada,TwigXL3,2022/03/03
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,999,999.999,Solace,NO_DATA
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,179,130.465,Solace,Canada,TBSSpec,2022/02/04
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,157,102.371,Solace,Canada,TBSSpec,2022/02/04
