DEP Open Series 5 Race 1,Football Stadium,101,74.426,Lo123,Austria,TBSSpec,2022/01/07
DEP Open Series 5 Race 2,Football Stadium,999,999.999,Lo123,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,79,92.101,Lo123,Austria,TBSSpec,2021/12/17
DEP Open Series 5 Race 4,Football Stadium,71,93.595,Lo123,Austria,TBSSpec,2022/01/05
DEP Open Series 5 Race 5,Football Stadium,999,999.999,Lo123,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,107,88.182,Lo123,Austria,Five33Switchback,2021/12/24
DEP Open Series 5 Race 7,Football Stadium,99,120.598,Lo123,Austria,TBSSpec,2022/01/04
