PaulEFPV,47,4615.169
frteskesc,46,6382.326
DracFPV,44,4027.351
iamspanky{o0},44,5411.120
DirtyMuffin,42,3830.798
kasapon,42,6652.912
NoahLikeTheArk,42,7296.838
TCNMGrower,41,4113.081
OhGeez!,41,5149.581
DAFFPV,41,5482.628
Crashin2416,40,9513.413
MoFPV!,39,8491.380
Musilex,38,6117.884
Nofarkinidea,37,4908.073
MAYHEM,36,3721.138
Brombeer,36,5569.417
Lucky22,36,6367.347
Bree,36,6918.446
Saqoosha,35,4365.575
TCAyyyKayyy,34,3322.787
ChainsawFPV,32,5147.406
Darksilver,31,3705.763
ReSp4wN,31,3913.764
Robot,31,4077.640
GrOiLL,31,7300.310
MegaHurts,30,3225.505
ROBO__FPV,30,5494.547
Dan11092,30,6693.365
lephroenjoyingtheride,29,2977.674
PacoTeamCanadaFPV,29,3025.689
ANZPO,28,3875.491
Itany,28,6555.044
dogfish1952,28,7398.452
Manraj,28,9121.627
YAWESOME,27,3402.038
doggz,27,4376.977
RoflcopterStL,27,4976.512
hypergab,27,9981.459
Barnyard,26,3090.638
riscorix,26,4192.318
Tesch408,26,8388.621
