Bree,71,4986.204
mv,69,4584.825
Smurf47akaUlrik,69,5007.765
Saqoosha,69,5064.987
Gafannen,68,4668.165
DAFFPV,67,5435.126
AliB㋡,65,5092.115
SmokyFPV,64,4614.017
MegaHurts,64,4638.505
Barnyard,64,4777.327
FPVFPVINEEDTOGETFASTER,62,4013.248
Kosta,61,3921.661
TCNMGrower,61,4601.200
ETERNAL☆Star23467,60,4217.533
KPV,60,4262.154
BearmanFPV,60,4650.976
TriBull,60,4683.584
mcrakus,59,4957.855
M4TTFPV,58,4587.639
TCGundren_Fpv,57,4155.239
DirtyMuffin,56,3492.301
loufpv,56,4017.647
HQBatuFPV,56,4173.086
Darksilver,56,4432.744
BURAK,55,3783.290
OliHawk,54,3396.566
EuLeR,54,3539.140
Lacasito,53,3445.051
RCSwix_QT,53,3653.267
knighthawk,53,3883.378
skAt,53,3884.887
NelisFPV,53,3999.923
MattiZ,53,4333.637
DracFPV,52,3579.753
ALPIFPV,52,3609.151
ibor24,52,4448.859
Brookeet,51,3843.302
KarachoFPV,51,4220.170
JWWFPV,51,4456.516
Burkan,50,3277.191
Guile,50,3935.030
frteskesc,49,4175.029
ATAKAN,48,3158.693
LOSLobo,48,3886.138
SzeryfxD,48,3897.102
DeMoNse3d,48,3913.816
OrangutanFPV,48,4026.770
NotSure,48,4084.687
TCAyyyKayyy,47,3115.720
AlexeyStn_Overpass,47,3396.647
Bubbows,47,3808.124
RobSi,47,4114.048
lephro,46,3296.060
Snowyeti,46,3784.875
IonFPV,45,3077.050
CALFPV,45,3631.201
obeny,45,3649.302
vexsk,44,3093.273
ETERNAL☆GOODVIBES,44,3746.052
WerdnaFPV,43,2843.392
Deviled90,43,3254.091
Ninjakat,43,3299.479
Bashikami,43,3458.240
Johnn,43,3510.944
Brombeer,42,3952.370
antonig,41,2603.729
Mazak,41,2873.146
BatmanFPV,41,3282.953
GoldenFpv,41,3381.470
JB,41,3503.965
LukeS,41,3526.500
RaceRat,41,3567.709
VitalyMi85,41,3609.672
JuhtiPuhti,40,2818.614
PacoTeamCanadaFPV,40,2994.930
Ryżu,40,3140.336
ChainsawFPV,40,3805.383
slick_fpv,39,2783.934
RIVALSKneeDown,39,3060.014
J0SE,39,3085.426
thehenker,38,2725.775
MX_BIGRAMON,38,2787.929
Bercik11palcow,38,3238.922
Musilex,38,3641.410
RustyDollar,36,2444.581
chogeRINTGF,36,2473.366
SebaFPVSlow:(,36,2507.179
RipDaLip,36,2681.605
SwEnglishFPV,36,2716.243
ReSp4wN,36,2783.883
BONADI,36,2951.707
NelsonFpv,36,3128.382
