DirtyMuffin,28,1082.083
JR138,28,1489.314
Bree,27,1773.445
WerdnaFPV,26,1155.260
ReSp4wN,25,1207.976
ibor24,24,1320.049
YCKFPV,24,1602.073
CharlieMorry,23,1355.442
JWWFPV,23,1551.689
Nofarkinidea,22,1220.710
QuadforsakenFPV,22,1364.879
NotSure,22,1442.170
groovy,21,1150.871
NelsonFpv,21,1280.799
CrippleThreatFPV,21,1304.312
Musilex,21,1313.774
ChainsawFPV,21,1421.920
FPVFPVINEEDTOGETFASTER,20,1007.416
TMAD,20,1186.094
DeMoNse3d,20,1228.668
jdogfpv,20,1255.671
VitalyMi85,20,1282.721
DCHFPV,20,1320.700
LukeS,19,1105.851
CatherineZetaDrones,19,1303.565
DracFPV,18,780.726
Dronius,18,886.894
Barnyard,18,913.824
loufpv,18,1126.841
_Alex_,18,1130.484
Tyg3r,18,1139.393
eedok,18,1161.282
kasapon,18,1165.712
stogie,18,1173.526
OliHawk,17,902.117
CravenFPV,17,1029.657
4Ari,17,1099.694
ad_movie,17,1108.251
SIMLeviathann,16,806.801
MegaHurts,16,879.011
PotaytoFPV,16,935.873
KarachoFPV,16,958.663
turo,16,965.549
Goddess_Randi,16,1015.654
ProductiveChimp,16,1085.601
MoFPV!,16,1154.544
KimboFPV,16,1238.389
Crashin2416,16,1238.781
antonig,15,713.486
vexsk,15,746.123
JR,15,929.302
Lucky22,15,1002.206
elviejontz,15,1003.344
RoflcopterStL,15,1028.036
Gafannen,15,1028.763
limmo,15,1096.761
Granpaw,15,1099.255
DrewbleDude,15,1142.890
GrOiLL,15,1230.378
