16.692,DeMoon,Germany,LilBastard,2022/06/16
16.938,WeeTeeCeeDee,UnitedKingdom,Five33Switchback,2022/05/03
25.314,IAmSanticus,UnitedStates,TwigXL3,2022/05/30
76.527,NotSure,UnitedStates,Five33Switchback,2022/04/25
