TBS EU Spec Series 11 Race 1,Dynamic Weather,999.999,UFPV,NO_DATA
TBS EU Spec Series 11 Race 2,Countryside,65.946,UFPV,UnitedKingdom,TBSSpec,2022/06/16
TBS EU Spec Series 11 Race 3,Dynamic Weather,64.795,UFPV,UnitedKingdom,CarbiXZero,2022/06/26
TBS EU Spec Series 11 Race 5,Dynamic Weather,71.768,UFPV,UnitedKingdom,CarbiXZero,2022/06/30
