DEP Open Series 3 Race 1,Football Stadium,58.880,sbrfpv,Brazil,Five33Switchback,2021/02/17
DEP Open Series 3 Race 2,Football Stadium,999.999,sbrfpv,NO_DATA
DEP Open Series 3 Race 3,Karting Track,86.737,sbrfpv,Brazil,Five33Switchback,2021/03/10
DEP Open Series 3 Race 4,Football Stadium,71.830,sbrfpv,Brazil,Five33Switchback,2022/07/13
DEP Open Series 3 Race 5,Football Stadium,999.999,sbrfpv,NO_DATA
DEP Open Series 3 Race 6,Football Stadium,999.999,sbrfpv,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,92.545,sbrfpv,Brazil,Five33Switchback,2021/04/10
VRL Season 3 Track 1,Empty Scene Day,91.242,sbrfpv,Brazil,Five33Switchback,2021/04/07
VRL Season 3 Track 2,Empty Scene Day,999.999,sbrfpv,NO_DATA
VRL Season 3 Track 3,Empty Scene Day,251.492,sbrfpv,Brazil,Five33Switchback,2020/10/25
VRL Season 3 Track 4,Empty Scene Day,251.008,sbrfpv,Brazil,Five33Switchback,2020/10/25
VRL Season 3 Track 5,Empty Scene Day,211.031,sbrfpv,Brazil,Five33Switchback,2020/10/25
VRL Season 3 Track 6,Empty Scene Day,340.763,sbrfpv,Brazil,Five33Switchback,2020/10/25
