# [pilotleaderboard=1]
# [seriesleaderboard=1]
# [sortby=index]

RCTech.de EU Spec Series 2 Final,Empty Scene Day
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day
RCTech.de EU Spec Series 2 Race 1,Football Stadium
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day

# TBS EU Spec Series 3 - Track 4 is missing from leaderboard
RCTech_de EU Spec Series 3 Final,Empty Scene Day
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham

# TBS EU Spec Series 4 - Track 6 is missing from leaderboard
EU Spec Season 4 Race 1,Football Stadium
TBS EU Spec Series 4 Race 2,Empty Scene Day
TBS EU Spec Series 4 Race 3,IndoorGoKart
TBS EU Spec Series 4 Race 4,Empty Scene Day
TBS EU Spec Series 4 Race 5,Dynamic Weather
TBS EU Spec Series 4 Race 7,Football Stadium
TBS EU Spec Series 4 FINAL,Dynamic Weather

# TBS EU Spec Series 5 - Track 2 is missing from leaderboard
TBS EU Spec Season 5 Race 1,Football Stadium

TBS EU Spec Series 5 Race 3,Dynamic Weather
TBS EU Spec Series 5 Race 4,Football Stadium
TBS EU Spec Series 5 Race 5,NEC Birmingham
TBS EU Spec Series 5 Race 6,Dynamic Weather
TBS EU Spec Series 5 Race 7,IndoorGoKart
TBS EU Spec Series 5 Losers Final,Dynamic Weather
TBS EU Spec Series 5 FINAL,Dynamic Weather

# TBS EU Spec Series 6 - Track 3 is missing from leaderboard
TBS EU Spec Series 6 Race 1,Future Hangar Empty
TBS EU Spec Series 6 Race 2,Empty Scene Day
TBS EU Spec Series 6 Race 4,NEC Birmingham
TBS EU Spec Series 6 Race 5,Dynamic Weather
TBS EU Spec Series 6 Race 6,Empty Scene Day
TBS EU Spec Series 6 Race 7,Empty Scene Day
TBS EU Spec Series 6 Losers Final,Football Stadium
TBS EU Spec Series 6 Final,Empty Scene Day

# TBS EU Spec Series 7
TBS EU Spec Series 7 Race 1,Football Stadium
TBS EU Spec Series 7 Race 2,Empty Scene Day
TBS EU Spec Series 7 Race 3,Empty Scene Day
TBS EU Spec Series 7 Race 4,Empty Scene Day
TBS EU Spec Series 7 Race 5,IndoorGoKart
TBS EU Spec Series 7 Race 6,Future Hangar Empty
TBS EU Spec Series 7 Race 7,Empty Scene Day
TBS EU Spec Series 7 Final,Empty Scene Day

# TBS EU Spec Series 8
TBS EU Spec Series 8 Race 1,Dynamic Weather
TBS EU Spec Series 8 Race 2,Empty Scene Night
TBS EU Spec Series 8 Race 3,Football Stadium
TBS EU Spec Series 8 Race 4,Empty Scene Day
TBS EU Spec Series 8 Race 5,Future Hangar Empty
TBS EU Spec Series 8 Race 6,Football Stadium
TBS EU Spec Series 8 Race 7,Empty Scene Day
TBS EU Spec Series 8 Losers Final,Dynamic Weather
TBS EU Spec Series 8 Final,Dynamic Weather

# TBS EU Spec Series 9
TBS EU Spec Series 9 Race 1,Football Stadium
TBS EU Spec Series 9 Race 2,Dynamic Weather
TBS EU Spec Series 9 Race 3,Empty Scene Day
TBS EU Spec Series 9 Race 4,Football Stadium
TBS EU Spec Series 9 Race 5,Empty Scene Day
TBS EU Spec Series 9 Race 6,Empty Scene Day
TBS EU Spec Series 9 Race 7,NEC Birmingham
TBS EU Spec Series 9 Losers Final,Dynamic Weather
TBS EU Spec Series 9 Final,Dynamic Weather

# TBS EU Spec Series 10
TBS EU Spec Series 10 Race 1,Football Stadium
TBS EU Spec Series 10 Race 2,Empty Scene Day
TBS EU Spec Series 10 Race 3,Night Factory 2
TBS EU Spec Series 10 Race 4,Dynamic Weather
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart
TBS EU Spec Series 10 Race 6,Large Carpark
TBS EU Spec Series 10 Race 7,Football Stadium
TBS EU Spec Series 10 Losers Final,Football Stadium
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium

# TBS EU Spec Series 11
TBS EU Spec Series 11 Race 1,Dynamic Weather
TBS EU Spec Series 11 Race 2,Countryside
TBS EU Spec Series 11 Race 3,Dynamic Weather
TBS EU Spec Series 11 Race 5,Dynamic Weather
TBS EU Spec Series 11 Race 5,NEC Birmingham
TBS EU Spec Series 11 Race 6,Dynamic Weather
TBS EU Spec Series 11 Race 7,Dynamic Weather
TBS EU Spec Series 11 Final,Dynamic Weather
