# [pilotleaderboard=1]
# [seriesleaderboard=1]

HDR-Trainer-LEVEL1,Countryside
HDR-Trainer-LEVEL2,Countryside
HDR-Trainer-LEVEL3,Countryside
HDR-Trainer-LEVEL4,Countryside
HDR-Trainer-LEVEL5,Countryside

level 01 pylons,Empty Scene Day
level 02 gates,Empty Scene Day
level 03 gates and figure 8,Empty Scene Day
level 04 gates figure 8 and flags,Empty Scene Day
level 05 gates figure 8 and more flags,Empty Scene Day
level 06 gates figure 8 split S and flags,Empty Scene Day
level 07 high and low gates figure 8 split S  and flags,Empty Scene Day
level 08 above and below right and left turns and split S,Empty Scene Day
level 09 above and below right and left turns dive gate and split S,Empty Scene Day
level 10 above and below right and left turns flags divegate and split S,Empty Scene Day
level 11 ladders divegates and split S,Empty Scene Day
level 12 ladders and corkscrews,Empty Scene Day
level 13 ladders divegates and flags ,Empty Scene Day
level 14 ladders divegates split S flags and corkscrews,Empty Scene Day
level 15 Lets race,Empty Scene Day

Quad Rivals Trainer Level 1 DW,Dynamic Weather
Quad Rivals Trainer Level 3 DW,Dynamic Weather
Quad Rivals Trainer Level 4 DW,Dynamic Weather
