# [pilotleaderboard=1]
# [seriesleaderboard=1]
# [sortby=index]

2023 MultiGP GQ-AyyyKayyy,Dynamic Weather
2023 MultiGP GQ-BonerFPV,Dynamic Weather
2023 MultiGP GQ-Fastodon,Dynamic Weather
2023 MultiGP GQ-Hakko,Dynamic Weather
2023 MultiGP GQ-Hyper,Dynamic Weather
2023 MultiGp GQ-Leviathann,Dynamic Weather
2023 MultiGP GQ-NMGrower,Dynamic Weather
2023 MultiGP GQ-ROFL,Dynamic Weather

CDRA 2023  Champs Hyper,Empty Scene Day
IO 2023 Main Stage FAI Yawesome,Empty Scene Day

MGP GQ 2023 remix,Dynamic Weather
MGP Ice Storm 2023 by BonerFPV,Empty Scene Day

MultiGP 2023 Mayhem-NMGrower,Empty Scene Day
