# [pilotleaderboard=1]
# [seriesleaderboard=1]

DEP Open Pop-Up 2,Dynamic Weather

DEP Spec Series 1 Race 5,Football Stadium

DEP Open Series 2 Race 1,Dynamic Weather
DEP Open Series 2 Race 7,Football Stadium

#DEP Open Series 3
DEP Open Series 3 Race 1,Football Stadium
DEP Open Series 3 Race 2,Football Stadium
DEP Open Series 3 Race 3,Karting Track
DEP Open Series 3 Race 4,Football Stadium
DEP Open Series 3 Race 5,Football Stadium
DEP Open Series 3 Race 6,Football Stadium
DEP Open Series 3 Race 7,Football Stadium

#DEP Open Series 4
DEP Open Series 4 Race 1,Football Stadium
DEP Open Series 4 Race 2,Football Stadium
DEP Open Series 4 Race 3,Football Stadium
DEP Open Series 4 Race 4,Football Stadium
DEP Open Series 4 Race 5,Football Stadium
DEP Open Series 4 Race 6,Football Stadium
DEP Open Series 4 Race 7,Football Stadium

#DEP Open Series 5
DEP Open Series 5 Race 1,Football Stadium
DEP Open Series 5 Race 2,Football Stadium
DEP Open Series 5 Race 3,Football Stadium
DEP Open Series 5 Race 4,Football Stadium
DEP Open Series 5 Race 5,Football Stadium
DEP Open Series 5 Race 6,Football Stadium
DEP Open Series 5 Race 7,Football Stadium
